"Country or Area","Year","Area","Sex","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Switzerland","1973","Total","Both Sexes","Estimate - de jure","Final figure, complete","1974","6310200",""
"Switzerland","1972","Total","Both Sexes","Estimate - de jure","Final figure, complete","2006","6288168",""
"Switzerland","1972","Total","Both Sexes","Estimate - de jure","Final figure, complete","1974","6253300",""
"Switzerland","1971","Total","Both Sexes","Estimate - de jure","Final figure, complete","2006","6233744",""
"Switzerland","1970","Total","Both Sexes","Census - de jure - complete tabulation","Final figure, complete","1973","6269783",""
"Switzerland","1970","Total","Both Sexes","Estimate - de jure","Final figure, complete","2006","6193064",""
"Switzerland","1970","Urban","Both Sexes","Census - de jure - complete tabulation","Final figure, complete","1973","3613767",""
"Switzerland","1969","Total","Both Sexes","Estimate - de jure","Final figure, complete","2002","6136389",""
"Switzerland","1968","Total","Both Sexes","Estimate - de jure","Final figure, complete","2002","6067712",""
"Switzerland","1967","Total","Both Sexes","Estimate - de jure","Final figure, complete","2002","5991783",""
"Switzerland","1966","Total","Both Sexes","Estimate - de jure","Final figure, complete","2002","5917996",""
"Switzerland","1965","Total","Both Sexes","Estimate - de jure","Final figure, complete","2002","5856472",""
"Switzerland","1964","Total","Both Sexes","Estimate - de jure","Final figure, complete","2002","5789225",""
"Switzerland","1963","Total","Both Sexes","Estimate - de jure","Final figure, complete","2002","5694241",""
"Switzerland","1962","Total","Both Sexes","Estimate - de jure","Final figure, complete","2002","5573810",""
"Switzerland","1961","Total","Both Sexes","Estimate - de jure","Final figure, complete","1975","5434300",""
"Switzerland","1960","Total","Both Sexes","Census - de jure - complete tabulation","Final figure, complete","1966","5429061",""
"Switzerland","1960","Total","Both Sexes","Estimate - de jure","Final figure, complete","2002","5327822",""
"Switzerland","1960","Urban","Both Sexes","Census - de jure - complete tabulation","Final figure, complete","1964","2784988",""
"Switzerland","1959","Total","Both Sexes","Estimate - de jure","Final figure, complete","1966","5259000",""
"Switzerland","1958","Total","Both Sexes","Estimate - de jure","Final figure, complete","1966","5199000",""
"Switzerland","1957","Total","Both Sexes","Estimate - de jure","Final figure, complete","1966","5126000",""
"Switzerland","1956","Total","Both Sexes","Estimate - de jure","Final figure, complete","1966","5045000",""
"Switzerland","1955","Total","Both Sexes","Estimate - de jure","Final figure, complete","1966","4980000",""
"Switzerland","1954","Total","Both Sexes","Estimate - de jure","Final figure, complete","1966","4929000",""
"Switzerland","1953","Total","Both Sexes","Estimate - de jure","Final figure, complete","1966","4878000",""
"Switzerland","1952","Total","Both Sexes","Estimate - de jure","Final figure, complete","1966","4815000",""
"Switzerland","1951","Total","Both Sexes","Estimate - de jure","Final figure, complete","1966","4749000",""
"Switzerland","1950","Total","Both Sexes","Census - de jure - complete tabulation","Final figure, complete","1964","4714992",""
"Switzerland","1950","Total","Both Sexes","Estimate - de jure","Final figure, complete","1966","4694000",""
"Switzerland","1950","Urban","Both Sexes","Census - de jure - complete tabulation","Final figure, complete","1960","1720057",""
"Switzerland","1949","Total","Both Sexes","Estimate - de jure","Final figure, complete","1966","4639000",""
"Switzerland","1948","Total","Both Sexes","Estimate - de jure","Final figure, complete","1966","4608000",""

"footnoteSeqID","Footnote"
"1","Data refer to legal resident population."
"2","Data refer to annual average population."
"3","From 2014, urban refers to urban centers and areas under the influence of urban centers."
