country,year,cic,gdp,cd,bank_rate,tax_gdp_2,debt_gdp
India,2013,11900000000000.00,112000000000000.00,0.11,,,
India,2014,13000000000000.00,125000000000000.00,0.10,,,
India,2015,14500000000000.00,138000000000000.00,0.11,,,
India,2016,16634632338000.00,154000000000000.00,0.11,,,
Mexico,1985,1888131000.00,50151964000.00,0.04,,,
Mexico,1986,3385042000.00,82317749000.00,0.04,,,
Mexico,1987,8065284000.00,203000000000.00,0.04,,,
Mexico,1988,14522268000.00,413000000000.00,0.04,,,
Mexico,1989,19660245000.00,545000000000.00,0.04,,,
Mexico,1990,27077501000.00,735000000000.00,0.04,,,
Mexico,1991,36171727000.00,945000000000.00,0.04,,,
Mexico,1992,42015433000.00,1120000000000.00,0.04,,,
Mexico,1993,47192859000.00,1560000000000.00,0.03,,,
Mexico,1994,56920386000.00,1780000000000.00,0.03,,,
Mexico,1995,66808632000.00,2310000000000.00,0.03,,,
Mexico,1996,83991071000.00,3120000000000.00,0.03,,,
Mexico,1997,108736000000.00,3960000000000.00,0.03,,,
Mexico,1998,131109000000.00,4810000000000.00,0.03,,,
Mexico,1999,188718000000.00,5740000000000.00,0.03,,,
Mexico,2000,208880000000.00,6690000000000.00,0.03,,,
Mexico,2001,225223000000.00,7070000000000.00,0.03,,,
Mexico,2002,263937000000.00,7460000000000.00,0.04,,,
Mexico,2003,303614000000.00,7870000000000.00,0.04,,,
Mexico,2004,340178000000.00,8830000000000.00,0.04,,,
Mexico,2005,380034000000.00,9560000000000.00,0.04,,,
Mexico,2006,449821000000.00,10600000000000.00,0.04,,,
Mexico,2007,494743000000.00,11500000000000.00,0.04,,,
Mexico,2008,577542000000.00,12400000000000.00,0.05,,,
Mexico,2009,631938000000.00,12200000000000.00,0.05,,,
Mexico,2010,693423000000.00,13400000000000.00,0.05,,,
Mexico,2011,763491000000.00,14700000000000.00,0.05,,,
Mexico,2012,845396000000.00,15800000000000.00,0.05,,,
Mexico,2013,917875000000.00,16300000000000.00,0.06,,,
Mexico,2014,1062890000000.00,17500000000000.00,0.06,,,
Mexico,2015,1239330000000.00,18600000000000.00,0.07,,,
Mexico,2016,1419750000000.00,20100000000000.00,0.07,,,
Mexico,2017,1542610000000.00,21900000000000.00,0.07,,,
Mexico,2018,1673210000000.00,23500000000000.00,0.07,,,
Germany,1980,42900000000.00,,,,,
Germany,1981,43000000000.00,,,,,
Germany,1982,45300000000.00,,,,,
Germany,1983,49300000000.00,,,,,
Germany,1984,51000000000.00,,,,,
Germany,1985,53100000000.00,,,,,
Germany,1986,57300000000.00,,,,,
Germany,1987,63400000000.00,,,,,
Germany,1988,72900000000.00,,,,,
Germany,1989,75600000000.00,,,,,
Germany,1990,81100000000.00,,,,,
Germany,1991,87800000000.00,1590000000000.00,,,,
Germany,1992,103000000000.00,1700000000000.00,,,,
Germany,1993,108000000000.00,1750000000000.00,,,,
Germany,1994,115000000000.00,1830000000000.00,,,,
Germany,1995,121000000000.00,1890000000000.00,,,,
Germany,1996,126000000000.00,1920000000000.00,,,,
Germany,1997,126000000000.00,1960000000000.00,,,,
Germany,1998,124000000000.00,2010000000000.00,,,,
Germany,1999,131000000000.00,2060000000000.00,,,,
Germany,2000,126000000000.00,2110000000000.00,,,,
Germany,2001,68000000000.00,2170000000000.00,,,,
Germany,2002,94200000000.00,2200000000000.00,,,,
Germany,2003,108000000000.00,2210000000000.00,,,,
Germany,2004,126000000000.00,2260000000000.00,,,,
Germany,2005,143000000000.00,2290000000000.00,,,,
Germany,2006,160000000000.00,2390000000000.00,,,,
Germany,2007,172000000000.00,2500000000000.00,,,,
Germany,2008,195000000000.00,2550000000000.00,,,,
Germany,2009,191000000000.00,2450000000000.00,,,,
Germany,2010,200000000000.00,2560000000000.00,,,,
Germany,2011,213000000000.00,2690000000000.00,,,,
Germany,2012,216000000000.00,2750000000000.00,,,,
Germany,2013,227000000000.00,2810000000000.00,,,,
Germany,2014,230000000000.00,2930000000000.00,,,,
Germany,2015,244000000000.00,3030000000000.00,,,,
Germany,2016,248000000000.00,3130000000000.00,,,,
Germany,2017,253000000000.00,3240000000000.00,,,,
Germany,2018,260000000000.00,3340000000000.00,,,,
