,country,year,cic,country_code,gdp,cd,log_cd,log_cic,interest_rates_imf,country_code.y,tax_gdp,uncertainty,eci,eci_2
54,Ghana,2003,667970000,GHA,6615770000,0.100966327,-2.29296821,20.31975382,21.5,GHA,18.47768613,0.39492835,-1.24972,-1.85233
55,Israel,2003,19131777823,ISR,5.78E+11,0.033099962,-3.408223156,23.67461655,5.2,ISR,24.99349852,0.399545325,1.04926,1.04518
56,Jamaica,2003,29426462000,JAM,5.45E+11,0.053993508,-2.918891457,24.10516017,15,JAM,24.07110007,0.1349911,-0.538303,-0.861014
57,Moldova,2003,2982193418,MDA,27618918000,0.107976475,-2.225841897,21.81592491,14,MDA,14.67291369,0.276776125,0.042335,0.194569
58,New Zealand,2003,3417370357,NZL,1.45E+11,0.023568071,-3.747862388,21.95213719,5,NZL,29.24813843,0.12881695,0.25454,0.396993
59,Philippines,2003,2.94782E+11,PHL,4.55E+12,0.064787165,-2.736647764,26.40950059,6.86209,PHL,12.10175226,0.21780665,-0.005396,0.807579
60,South Africa,2003,44670764000,ZAF,1.33E+12,0.033587041,-3.393614983,24.52258508,8,ZAF,23.03754961,0.129454725,0.128366,0.570227
61,Sweden,2003,1.09E+11,SWE,2.68E+12,0.040649254,-3.202774802,25.41406311,3,SWE,26.87988905,0.3285106,2.09665,1.36877
62,Switzerland,2003,35765500000,CHE,4.75E+11,0.075295789,-2.586331062,24.30024958,0.75,CHE,9.190743119,0.29583595,2.12764,1.50259
63,Thailand,2003,6.36506E+11,THA,6.32E+12,0.100712961,-2.295480781,27.17925954,1.25,THA,14.4815711,0.32973755,0.418108,0.865424
64,United Kingdom,2003,3.06E+10,GBR,1.25E+12,0.0244488,-3.711174144,24.14299052,3.75,GBR,24.53438799,0.22036785,1.94824,1.35162
65,United States,2003,6.90E+11,USA,1.15E+13,0.05997887,-2.813762953,27.2596052,1,USA,9.389746033,0.303085025,1.85046,1.34445
66,Albania,2004,1.41645E+11,ALB,7.38E+11,0.19193062,-1.650621328,25.67658833,5.25,ALB,17.96508682,0,-0.128714,-0.202839
67,Argentina,2004,3.76E+10,ARG,4.85E+11,0.077575258,-2.556506746,24.35090798,2.5,ARG,13.1007799,0.237159075,0.002533,0.212719
68,Australia,2004,3.49E+10,AUS,8.61E+11,0.040488966,-3.206725779,24.27463456,5.25,AUS,24.33803811,0.031713725,-0.218672,0.311575
