"","country","year","cic","country_code","gdp","cd","log_cd","log_cic","interest_rates_wdi","tax_gdp","uncertainty","eci","eci_2"
"55","Croatia",2002,10895791618.5,"HRV",2.12e+11,0.0513952434834906,-2.96820965003474,23.1116424615837,1.88916666666667,22.07431497,0.0586476,0.638124,0.708947
"56","Czech Republic",2002,2.24402e+11,"CZE",2.68e+12,0.0837320895522388,-2.48013298724011,26.1367049232112,1.9975,14.61554927,0.236019775,1.56631,1.19501
"57","Dominican Republic",2002,24439900000,"DOM",4.77e+11,0.0512366876310273,-2.97129944824635,23.9194828795884,16.54,13.21672761,0.093796425,-0.541407,-0.386812
"58","Georgia",2002,417178287,"GEO",7456100000,0.0559512730515953,-2.88327409110334,19.8490242351536,5.88956413920152,7.616582396,0.045329675,0.138305,0.363946
"59","Ghana",2002,494440000,"GHA",4886200000,0.101191109655765,-2.29074437523908,20.0189363669839,16.2083333333333,17.49311121,0.098923725,-1.13735,-1.75836
"60","Guatemala",2002,9999552963.38,"GTM",1.63e+11,0.0613469506955828,-2.79120981247396,23.0258062252792,6.915,11.88054915,0.516488475,-0.397476,-0.275405
"61","Hungary",2002,1.279588e+12,"HUN",1.75e+13,0.0731193142857143,-2.61566272981082,27.8775592670472,7.32027178649307,20.74522526,0.0555988,1.06683,1.21221
"62","Indonesia",2002,98390867400000,"IDN",1.82e+15,0.0540609161538462,-2.91764379129545,32.2199691047039,15.5025,11.82695959,0.21622305,-0.011234,0.51608
"63","Israel",2002,18004337942,"ISR",5.73e+11,0.0314211831448517,-3.46027299107586,23.6138785625853,6.03364166666667,25.73076705,0.19824425,1.10809,1.06623
"64","Jamaica",2002,24354508000,"JAM",4.71e+11,0.05170808492569,-2.96214112815268,23.9159828028101,11.508834176766,21.85901019,0.2069832,-0.636068,-0.783037
"65","Japan",2002,7.98383e+13,"JPN",5.16e+14,0.154725387596899,-1.86610342629021,32.0110244551199,0.0355833333333333,9.061598934,0.1152563,2.61165,1.66552
"66","Kuwait",2002,523734000,"KWT",1.159e+10,0.045188438308887,-3.09691401449009,20.076494479808,3.15190833333333,1.182053494,0.0713216,-0.300179,-0.171351
"67","Malaysia",2002,27137308945.5,"MYS",3.83e+11,0.0708545925469974,-2.64712549424054,24.0241753318865,3.205,17.44700062,0.161709275,0.734542,1.05356
"68","Moldova",2002,2477639634,"MDA",22555858000,0.109844619255894,-2.20868846400124,21.6305721834278,14.2,12.88135437,0.165088175,-0.019165,0.286507
"69","Mongolia",2002,134636923000,"MNG",1.55e+12,0.0868625309677419,-2.44342851382724,25.6258475330325,13.2166666666667,13.36924022,0.04972155,-0.746776,-1.19656
"70","Morocco",2002,73170618930.16,"MAR",4.65e+11,0.15735616974228,-1.84924344593042,25.0160597966033,4.54416666666667,19.07256603,0.311055475,-0.676159,-0.440119
"71","Namibia",2002,819202143.95,"NAM",34527853600,0.0237258346099452,-3.74119075660352,20.5238414293726,7.80916666666667,26.6468982,0.11312195,-0.663161,-0.77005
"72","New Zealand",2002,3303137310.96,"NZL",1.35e+11,0.0244676837848889,-3.71040206130439,21.9181385540805,5.33236666666667,28.20805365,0.2119352,0.192239,0.399265
"73","Nicaragua",2002,2292677097,"NIC",74445035500,0.0307969105206485,-3.48034090180492,21.552986009711,7.78905065834981,10.39549911,0.22427695,-0.805578,-0.833148
"74","Philippines",2002,271695291400.67,"PHL",4.2e+12,0.0646893550953976,-2.7381586181304,26.3279470230875,4.608,12.09116828,0.1430137,-0.025559,0.806714
"75","Romania",2002,5277241900,"ROU",1.52e+11,0.0347186967105263,-3.36047692703374,22.3866694307589,19.2333333333333,16.48910006,0.13013045,0.459015,0.549731
"76","South Africa",2002,39487428000,"ZAF",1.22e+12,0.0323667442622951,-3.43062379496258,24.3992481797111,10.7741666666667,23.27841514,0.0815469,0.055371,0.539331
"77","Sri Lanka",2002,88307800000,"LKA",1.58e+12,0.0558910126582279,-2.88435168709159,25.2040942758758,9.22083333333333,14.02036178,0.09717725,-0.618172,-0.517346
"78","Sweden",2002,1.06984e+11,"SWE",2.57e+12,0.0416280155642023,-3.17898188731877,25.3959451275169,2.3775,26.8101007,0.23055585,2.0381,1.38508
"79","Ukraine",2002,27703344607.58,"UKR",2.26e+11,0.12258117083,-2.098981849412,24.0448189868067,7.92675,13.11147594,0.204374225,0.475434,0.554552
"80","Uruguay",2002,10001226278,"URY",2.89e+11,0.0346063193010381,-3.36371897483656,23.0259735502223,62.5763291666667,15.77767622,0.1996707,0.023785,0.343479
"81","Zambia",2002,479425000,"ZMB",18447049600,0.0259892508772785,-3.65007225424247,19.9880980271239,23.325,15.44001287,0.333930825,-0.99658,-0.981527
"82","Albania",2003,127789573713,"ALB",6.78e+11,0.188480197216814,-1.6687623321654,25.5736507927214,8.37549739428437,17.19614992,0.02276245,-0.02384,-0.163581
"83","Angola",2003,40594276358,"AGO",1.33e+12,0.0305220122992481,-3.48930714095016,24.4268929172121,26.1725,17.17157991,0.032940375,-2.06924,-0.981561
"84","Argentina",2003,3.0316e+10,"ARG",3.76e+11,0.0806276595744681,-2.51791351744011,24.1349414628962,10.160700678529,12.5187797,0.1737543,-0.022571,0.222639
"85","Australia",2003,3.4023e+10,"AUS",8.01e+11,0.0424756554307116,-3.15882418056706,24.2503026034477,3.50833333333333,24.32406113,0.308238375,-0.038353,0.33688
"86","Bangladesh",2003,1.54628e+11,"BGD",3.48e+12,0.0444333333333333,-3.11376534046558,25.7642880692493,7.11,6.965213904,0.196107,-1.1201,-0.941555
"87","Belarus",2003,105334920.28,"BLR",3656480000,0.0288077386666958,-3.54711122422989,18.472655548719,17.4416666666667,17.68812191,0.097525425,0.723122,0.779609
"88","Bolivia",2003,3524676123.79,"BOL",61904449000,0.0569373636423127,-2.86580349883091,21.9830543892136,11.4099033747003,12.97300023,0.29314875,-0.797802,-0.703384
"89","Brazil",2003,5.1364e+10,"BRA",1.72e+12,0.0298627906976744,-3.51114203183847,24.6622033749154,21.9706904803307,15.24438358,0.117342325,0.42281,0.564908
"90","Bulgaria",2003,4264222000,"BGR",36356700000,0.117288477777136,-2.14311875681638,22.1735255862446,2.93229166666667,19.92464113,0.1001742,0.365341,0.39341
"91","Cambodia",2003,977276002000,"KHM",1.85e+13,0.0528257298378378,-2.94075689943087,27.608034948582,2.01666666666667,7.537844416,0.39757505,-1.02579,-0.657386
"92","Canada",2003,42190611000,"CAN",1.25e+12,0.0337524888,-3.3887011221602,24.4654635450826,1.1,13.27575327,0.19102295,0.919277,1.13309
"93","Chile",2003,1.917726e+12,"CHL",5.23e+13,0.0366678011472275,-3.30585626195754,28.2821612250419,2.73373748649505,15.94896337,0.09350985,-0.069191,-0.197791
"94","Colombia",2003,14770727766000,"COL",2.72e+14,0.0543041461985294,-2.91315469770999,30.3236684845146,7.80333333333333,11.25882686,0.2975975,0.141137,0.385921
