"","country","year","cic","country_code","gdp","cd","log_cd","log_cic","interest_rates_imf","country_code.y","tax_gdp","uncertainty","eci","eci_2","overall_score","property_rights","government_integrity","judicial_effectiveness","tax_burden","government_spending","business_freedom","monetary_freedom","trade_freedom","investment_freedom","financial_freedom","region"
"34","Philippines",2002,271695291400.67,"PHL",4.2e+12,0.0646893550953976,-2.7381586181304,26.3279470230875,7.1206,"PHL",12.09116828,0.1430137,-0.025559,0.806714,60.7,50,"28.0","N/A",77.4,88,55,75.9,"71.6","50.0",50,"East Asia and Pacific"
"35","South Africa",2002,39487428000,"ZAF",1.22e+12,0.0323667442622951,-3.43062379496258,24.3992481797111,13.5,"ZAF",23.27841514,0.0815469,0.055371,0.539331,64,50,"50.0","N/A",65.2,79.7,70,80.3,"61.0","70.0",50,"Sub-Saharan Africa"
"36","Sweden",2002,1.06984e+11,"SWE",2.57e+12,0.0416280155642023,-3.17898188731877,25.3959451275169,4.5,"SWE",26.8101007,0.23055585,2.0381,1.38508,70.8,90,"94.0","N/A",31.4,2.5,70,89.7,"79.6","90.0",90,"Europe and Central Asia"
"37","Switzerland",2002,35231300000,"CHE",4.7e+11,0.0749602127659574,-2.59079780266276,24.2852007289878,1.25,"CHE",9.19319936,0.214689725,2.19269,1.51899,79.3,90,"86.0","N/A",80,56.7,70,88.1,"83.0","70.0",90,"Europe and Central Asia"
"38","Thailand",2002,559166700000,"THA",5.77e+12,0.0969093067590988,-2.3339797197119,27.0497134767367,1.75,"THA",13.47031276,0.1170352,0.435905,0.877702,69.1,70,"32.0","N/A",75.3,90.3,70,86.4,"77.8","70.0",50,"East Asia and Pacific"
"39","United Kingdom",2002,2.851e+10,"GBR",1.18e+12,0.0241610169491525,-3.72301481453513,24.073520739871,4,"GBR",24.94987134,0.069229375,1.99456,1.37465,78.5,90,"87.0","N/A",61.5,58.9,85,84.7,"79.6","70.0",90,"Europe and Central Asia"
"40","United States",2002,6.54272e+11,"USA",1.09e+13,0.0600249541284404,-2.81299490108269,27.206789004081,1.25,"USA",9.861546039,0.26978,1.87944,1.37342,78.4,90,"78.0","N/A",63.4,65.3,85,84.1,"79.4","70.0",90,"North America"
"41","Albania",2003,127789573713,"ALB",6.78e+11,0.188480197216814,-1.6687623321654,25.5736507927214,6.5,"ALB",17.19614992,0.02276245,-0.02384,-0.163581,56.8,30,"10.0","N/A",83.8,70.4,55,85.8,"56.2","70.0",50,"Europe and Central Asia"
"42","Argentina",2003,3.0316e+10,"ARG",3.76e+11,0.0806276595744681,-2.51791351744011,24.1349414628962,1.67,"ARG",12.5187797,0.1737543,-0.022571,0.222639,56.3,30,"35.0","N/A",72.2,76.8,70,88.5,"54.0","50.0",30,"Latin America and The Caribbean"
"43","Australia",2003,3.4023e+10,"AUS",8.01e+11,0.0424756554307116,-3.15882418056706,24.2503026034477,5.25,"AUS",24.32406113,0.308238375,-0.038353,0.33688,77.4,90,"85.0","N/A",58.6,58.9,85,82.1,"77.0","70.0",90,"East Asia and Pacific"
"44","Bangladesh",2003,1.54628e+11,"BGD",3.48e+12,0.0444333333333333,-3.11376534046558,25.7642880692493,5,"BGD",6.965213904,0.196107,-1.1201,-0.941555,49.3,30,"4.0","N/A",77.2,94,40,80.8,"38.0","50.0",30,"South Asia"
"45","Belarus",2003,105334920.28,"BLR",3656480000,0.0288077386666958,-3.54711122422989,18.472655548719,28,"BLR",17.68812191,0.097525425,0.723122,0.779609,39.7,30,"41.0","N/A",65.3,41.1,40,14.1,"66.0","30.0",30,"Europe and Central Asia"
"46","Brazil",2003,5.1364e+10,"BRA",1.72e+12,0.0298627906976744,-3.51114203183847,24.6622033749154,16.5,"BRA",15.24438358,0.117342325,0.42281,0.564908,63.4,50,"40.0","N/A",90.2,82.7,70,78.6,"59.0","50.0",50,"Latin America and The Caribbean"
"47","Canada",2003,42190611000,"CAN",1.25e+12,0.0337524888,-3.3887011221602,24.4654635450826,2.75,"CAN",13.27575327,0.19102295,0.919277,1.13309,74.8,90,"89.0","N/A",72.7,47.8,85,85,"83.4","50.0",70,"North America"
"48","Chile",2003,1.917726e+12,"CHL",5.23e+13,0.0366678011472275,-3.30585626195754,28.2821612250419,2.45,"CHL",15.94896337,0.09350985,-0.069191,-0.197791,76,90,"75.0","N/A",75,81.8,70,83,"69.0","70.0",70,"Latin America and The Caribbean"
"49","Colombia",2003,14770727766000,"COL",2.72e+14,0.0543041461985294,-2.91315469770999,30.3236684845146,7.25,"COL",11.25882686,0.2975975,0.141137,0.385921,64.2,30,"38.0","N/A",72.5,87.6,70,76.5,"63.0","70.0",70,"Latin America and The Caribbean"
"50","Denmark",2003,4.9685e+10,"DNK",1.44e+12,0.0345034722222222,-3.36669531588672,24.6289689136297,2,"DNK",30.14077788,0.1549538,1.50739,1.23713,73.2,90,"95.0","N/A",32.6,9.9,100,89.9,"81.4","70.0",90,"Europe and Central Asia"
