"","country","year","low","high","total","country_code","gdp","cd_low","cd_high","cd_total","deposit_interest_rate","treasury_bill_rate","tax_gdp","eci","eci_2","uncertainty","monetary_freedom","business_freedom","property_rights","investment_freedom","financial_freedom","trade_freedom","government_integrity","judicial_effectiveness","overall_score","tax_burden","government_spending","fiscal_health","labor_freedom","crime","urban_pop_growth"
"125","Turkey",2017,2.4858e+10,1.0659e+11,1.31448e+11,"TUR",3.11e+12,0.00799292604501608,0.0342733118971061,0.0422662379421222,15.28833333,NA,17.8731079,0.175726,NA,0.373288,72.2,64.3,61.3,75,60,79.4,40.7,52.5,65.2,75.5,57.7,95.7,48.5,NA,2.276646472
"126","Turkey",2018,2.3809e+10,1.08443e+11,1.32252e+11,"TUR",3.7e+12,0.00643486486486486,0.0293089189189189,0.0357437837837838,23.34583333,NA,17.97697336,NA,NA,0.304825125,72.3,63.3,54.7,75,60,78.6,42,54.5,65.4,74.7,68.1,93.6,47.6,NA,2.156726888
"127","United Kingdom",2012,4.617e+10,1.031e+10,5.649e+10,"GBR",1.69e+12,0.0273195266272189,0.00610059171597633,0.0334260355029586,NA,0.3128,25.11866914,1.49378,1.19991,0.4049434,73.9,94.7,90,90,80,87.1,76,NA,74.1,56.4,21.5,NA,71.5,1,1.022109257
"128","United Kingdom",2013,4.685e+10,1.122e+10,5.807e+10,"GBR",1.76e+12,0.0266193181818182,0.006375,0.0329943181818182,NA,0.3015,25.11299591,1.45544,1.20145,0.3034571,72.4,94.1,90,90,80,86.8,78,NA,74.8,57,27.7,NA,71.6,0.9,0.992823921
"129","United Kingdom",2014,4.987e+10,1.173e+10,6.161e+10,"GBR",1.84e+12,0.0271032608695652,0.006375,0.0334836956521739,NA,0.3801,24.83523514,1.40296,1.15168,0.238020825,73.5,92,90,90,80,87.8,76.4,NA,74.9,56.6,29.5,NA,73.1,0.9,1.07317054
"130","United Kingdom",2015,5.214e+10,1.298e+10,6.512e+10,"GBR",1.9e+12,0.0274421052631579,0.00683157894736842,0.0342736842105263,NA,0.4431,25.09121291,1.6425,1.14639,0.477109675,74.4,91.1,90,90,80,88,76,NA,75.8,62.9,30.3,NA,75.6,1,1.111350083
"131","United Kingdom",2016,5.046e+10,1.316e+10,6.361e+10,"GBR",1.97e+12,0.0256142131979695,0.00668020304568528,0.0322893401015228,NA,0.3219,25.47717113,1.5493,NA,0.985397625,76.4,86,90,90,80,88,78,NA,76.4,64.9,39,NA,71.8,1.2,1.028206552
"132","United Kingdom",2017,5.328e+10,1.56e+10,6.888e+10,"GBR",2.05e+12,0.025990243902439,0.00760975609756098,0.0336,NA,NA,25.71953266,1.53259,NA,0.474913175,85,89.9,93.8,90,80,87,78.3,93,76.4,65.1,41.9,40.4,72.8,1.2,1.013390544
"133","United Kingdom",2018,5.239e+10,1.651e+10,6.89e+10,"GBR",2.12e+12,0.0247122641509434,0.00778773584905661,0.0325,NA,NA,NA,NA,NA,0.608418,85.2,91.1,92.2,90,80,86.9,79,93.8,78,65.2,44.4,53.5,74.4,NA,0.95525565
"134","United States",2012,4.027e+10,9.3559e+11,9.7586e+11,"USA",1.62e+13,0.0024858024691358,0.0577524691358025,0.0602382716049383,NA,0.0875,9.79687152,1.45359,1.1813,0.381228075,77.2,91.1,85,70,70,86.4,71,NA,76.3,69.8,46.7,NA,95.8,4.7,0.949582719
"135","United States",2013,4.177e+10,9.9919e+11,1.04096e+12,"USA",1.68e+13,0.00248630952380952,0.0594755952380952,0.0619619047619048,NA,0.0592,10.51960599,1.43702,1.18747,0.222607475,75,90.5,85,70,70,86.4,71,NA,76,69.3,47.8,NA,95.5,4.5,0.914905301
"136","United States",2014,4.305e+10,1.09143e+12,1.13448e+12,"USA",1.75e+13,0.00246,0.0623674285714286,0.0648274285714286,NA,0.035,10.95153383,1.30167,1.13702,0.147042175,75.4,89.2,80,70,70,86.8,72,NA,75.5,65.8,48.1,NA,97.2,4.5,0.960162155
"137","United States",2015,4.405e+10,1.16205e+12,1.2061e+12,"USA",1.82e+13,0.00242032967032967,0.0638489010989011,0.0662692307692308,NA,0.0525,11.2046032,1.8166,1.12487,0.268378,76.6,88.8,80,70,70,87,73,NA,76.2,66.2,51.8,NA,98.5,5,0.967792647
"138","United States",2016,4.52e+10,1.23826e+12,1.28346e+12,"USA",1.87e+13,0.00241711229946524,0.0662171122994652,0.0686342245989305,NA,0.3175,10.98294396,1.78168,NA,0.214639275,77,84.7,80,70,70,87,74,NA,75.4,65.6,54.7,NA,91.4,5.4,0.956993485
"139","United States",2017,4.652e+10,1.33809e+12,1.38461e+12,"USA",1.95e+13,0.00238564102564103,0.06862,0.071005641025641,NA,0.9308,11.94741055,1.75541,NA,0.18586695,80.1,84.4,81.3,80,70,87.1,78.1,75.1,75.1,65.3,55.9,53.3,91,5.3,0.879600123
"140","United States",2018,4.785e+10,1.43266e+12,1.48051e+12,"USA",2.05e+13,0.00233414634146341,0.0698858536585366,0.07222,NA,1.9392,9.675467574,NA,NA,0.192278625,78.6,82.7,79.3,85,80,86.7,71.9,76.9,75.7,65.1,56.5,54.8,91.4,NA,0.860433167
